Stato,AbbStato,Popolazione (1-4-2020),Capitale
Alaska,AK,733 391,Juneau
Alabama,AL,5 024 279,Montgomery
Arkansas,AR,3 011 524,Little Rock
Arkansas,AR,3 011 524,Topeka
Kansas,AR,2 937 880,Little Rock
Kansas,AR,2 937 880,Topeka
Arizona,AZ,7 151 502,Phoenix
California,CA,39 538 223,Sacramento
Colorado,CO,5 773 714,Denver
Connecticut,CT,3 605 944,Hartford
Delaware,DE,989 948,Dover
Florida,FL,21 538 187,Tallahassee
Georgia,GA,10 711 908,Atlanta
Hawaii,HI,1 455 271,Honolulu
Iowa,IA,3 190 369,Des Moines
Idaho,ID,1 839 106,Boise
Illinois,IL,12 812 508,Springfield
Indiana,IN,6 785 528,Indianapolis
Arkansas,KS,3 011 524,Little Rock
Arkansas,KS,3 011 524,Topeka
Kansas,KS,2 937 880,Little Rock
Kansas,KS,2 937 880,Topeka
Kentucky,KY,4 505 836,Frankfort
Louisiana,LA,4 657 757,Baton Rouge
Massachusetts,MA,7 029 917,Boston
Maryland,MD,6 177 224,Annapolis
Maine,ME,1 362 359,Augusta
Michigan,MI,10 077 331,Lansing
Minnesota,MN,5 706 494,Saint Paul
Missouri,MO,6 154 913,Jefferson City
Mississippi,MS,2 961 279,Jackson
Montana,MT,1 084 225,Helena
Nebraska,NB,1 961 504,Lincoln
Nebraska,NE,1 961 504,Lincoln
New Hampshire,NH,1 377 529,Concord
New Jersey,NJ,9 288 994,Trenton
New Mexico,NM,2 117 522,Santa Fe
Nevada,NV,3 104 614,Carson City
New York,NY,20 201 249,Albany
Ohio,OH,11 799 448,Columbus
Oklahoma,OK,3 959 353,Oklahoma City
Oregon,OR,4 237 256,Salem
Pennsylvania,PA,13 002 700,Harrisburg
Rhode Island,RI,1 097 379,Providence
Tennessee,TN,6 910 840,Nashville
Texas,TX,29 145 505,Austin
Utah,UT,3 271 616,Salt Lake City
Virginia,VA,8 631 393,Richmond
Vermont,VT,643 077,Montpelier
Washington,WA,7 705 281,Olympia
Wisconsin,WI,5 893 718,Madison
Wyoming,WY,576 851,Cheyenne
